seccion,indicador,titulo,ambito,sexo,periodo,valor,unidad
epa,ocupados,Ocupados,espana,Hombres,2024T1,11393.0,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2024T2,11595.6,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2024T3,11710.5,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2024T4,11706.6,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2025T1,11612.5,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2025T2,11878.4,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2025T3,11985.4,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2025T4,12005.8,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2026T1,11925.7,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2026T2,12162.0,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2002T1,6226.0,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2002T2,6364.6,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2002T3,6427.5,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2002T4,6511.1,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2003T1,6552.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2003T2,6726.6,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2003T3,6835.7,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2003T4,6928.6,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2004T1,6967.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2004T2,7093.7,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2004T3,7220.1,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2004T4,7335.7,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2005T1,7472.5,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2005T2,7726.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2005T3,7801.4,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2005T4,7887.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2006T1,7941.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2006T2,8118.9,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2006T3,8162.0,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2006T4,8300.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2007T1,8343.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2007T2,8497.7,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2007T3,8577.5,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2007T4,8631.3,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2008T1,8605.9,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2008T2,8696.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2008T3,8714.9,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2008T4,8640.4,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2009T1,8385.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2009T2,8377.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2009T3,8393.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2009T4,8339.7,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2010T1,8283.5,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2010T2,8280.9,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2010T3,8304.9,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2010T4,8333.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2011T1,8229.7,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2011T2,8392.9,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2011T3,8280.4,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2011T4,8172.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2012T1,8077.1,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2012T2,8095.4,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2012T3,8021.9,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2012T4,7903.7,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2013T1,7791.9,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2013T2,7827.4,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2013T3,7845.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2013T4,7828.4,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2014T1,7785.0,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2014T2,7912.1,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2014T3,7898.1,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2014T4,8010.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2015T1,7934.6,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2015T2,8105.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2015T3,8152.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2015T4,8230.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2016T1,8182.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2016T2,8329.9,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2016T3,8414.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2016T4,8436.2,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2017T1,8389.8,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2017T2,8556.4,miles de personas
epa,ocupados,Ocupados,espana,Mujeres,2017T3,8628.7,miles de personas
